Name,Country,Industry,mvUsd
1&1 AG,Germany,Telecommunications,14894857
10X Genomics Inc,United States,Health Care,32615513
11 bit studios SA,Poland,Consumer Discretionary,11927248
1Life Healthcare Inc,United States,Health Care,43201015
1st Source Corp,United States,Financials,6163059
29Metals Ltd,Australia,Basic Materials,4312770
2G Energy AG,Germany,Utilities,2953187
2U Inc,United States,Consumer Discretionary,9214712
2seventy bio Inc,United States,Health Care,9
360 DigiTech Inc,China,Financials,105298785
37 Interactive Entertainment Network Technology Group Co Ltd,China,Consumer Discretionary,11464113
3D Systems Corp,United States,Technology,6574671
3M Co,United States,Industrials,354197391
3M India Ltd,India,Industrials,21599883
3SBio Inc,China,Health Care,10634383
3i Group PLC,United Kingdom,Financials,442640427
4D Molecular Therapeutics Inc,United States,Health Care,6529740
4DMedical Ltd,Australia,Health Care,2485833
4imprint Group PLC,United Kingdom,Consumer Discretionary,14015759
5E Advanced Materials Inc,Australia,Basic Materials,199
7-Eleven Malaysia Holdings Bhd,Malaysia,Consumer Staples,3075864
77 Bank Ltd/The,Japan,Financials,6770260
7C Solarparken AG,Germany,Utilities,745118
888 Holdings PLC,United Kingdom,Consumer Discretionary,4945242
8x8 Inc,United States,Telecommunications,4314345
91APP Inc,Taiwan,Technology,6574547
A O Smith Corp,United States,Industrials,58846097
A-Living Smart City Services Co Ltd,China,Real Estate,437709
A-Mark Precious Metals Inc,United States,Consumer Discretionary,1861528
A10 Networks Inc,United States,Technology,3056594
A2A SpA,Italy,Utilities,16660334
A2B Australia Ltd,Australia,Financials,504
AAC Technologies Holdings Inc,Hong Kong,Technology,26330454
AAK AB,Sweden,Consumer Staples,53806747
AAON Inc,United States,Industrials,14215746
AAR Corp,United States,Industrials,14519582
AB Grigeo,Lithuania,Basic Materials,1731733
AB SA,Poland,Technology,4926044
AB Science SA,France,Health Care,533641
ABB India Ltd,India,Industrials,12734537
ABB Ltd,Switzerland,Industrials,1056815846
ABC arbitrage,France,Financials,232912
ABC-Mart Inc,Japan,Consumer Discretionary,32525031
ABLBio Inc,South Korea,Health Care,3983992
ABM Industries Inc,United States,Industrials,28697541
ABN AMRO Bank NV,Netherlands,Financials,80995179
ABSA Bank Kenya PLC,Kenya,Financials,6295707
ACADIA Pharmaceuticals Inc,United States,Health Care,31110164
ACCO Brands Corp,United States,Consumer Staples,4802688
ACEA SpA,Italy,Utilities,10452225
ACEN Corp,Philippines,Utilities,9927875
ACI Worldwide Inc,United States,Industrials,28082862
ACS Actividades de Construccion y Servicios SA,Spain,Industrials,135935204
ACSL LTD,Japan,Industrials,1358839
ADATA Technology Co Ltd,Taiwan,Technology,6261386
ADEKA Corp,Japan,Basic Materials,28945726
ADLER Group SA,Germany,Real Estate,2793018
ADMA Biologics Inc,United States,Health Care,6958004
ADT Inc,United States,Industrials,18754456
ADTRAN Holdings Inc,United States,Telecommunications,3197599
AECC Aviation Power Co Ltd,China,Industrials,26524548
AECOM,United States,Industrials,214427187
AEM Holdings Ltd,Singapore,Technology,13864872
AEON Credit Service M Bhd,Malaysia,Financials,3850822
AEON Financial Service Co Ltd,Japan,Financials,33192771
AEON REIT Investment Corp,Japan,Real Estate,30108444
AEON Thana Sinsap Thailand PCL,Thailand,Financials,70808042
AES Brasil Energia SA,Brazil,Utilities,1052964
AFRY AB,Sweden,Industrials,40696392
AG Barr PLC,United Kingdom,Consumer Staples,9909856
AGC Inc,Japan,Industrials,94495453
AGCO Corp,United States,Industrials,95106945
AGFA-Gevaert NV,Belgium,Industrials,11714557
AGNC Investment Corp,United States,Financials,54804223
AIA Engineering Ltd,India,Industrials,9949545
AIA Group Ltd,Hong Kong,Financials,2200671047
AIB Group PLC,Ireland,Financials,62886137
AIMS APAC REIT,Singapore,Real Estate,7541103
AIXTRON SE,Germany,Technology,137888355
AJ Bell PLC,United Kingdom,Financials,9828638
AK Medical Holdings Ltd,China,Health Care,10722032
AKR Corporindo Tbk PT,Indonesia,Energy,45803797
AKWEL,France,Consumer Discretionary,13868188
AL Yah Satellite Communications Co-Pjsc-Yah Sat,United Arab Emirates,Telecommunications,25347136
ALD SA,France,Consumer Discretionary,39575621
