Name,Country,First_Seen
1Life Healthcare Inc,United States,2022-12-31
2U Inc,United States,2022-12-31
ADLER Group SA,Germany,2022-12-31
AMI Organics Ltd,India,2022-12-31
ANSYS Inc,United States,2022-12-31
AVEVA Group PLC,United Kingdom,2022-12-31
Aareal Bank AG,Germany,2022-12-31
Aarti Pharmalabs Ltd,India,2022-12-31
Activision Blizzard Inc,United States,2022-12-31
Adani Ports & Special Economic Zone Ltd,India,2022-12-31
Aditya Birla Fashion and Retail Ltd,India,2022-12-31
Affle India Ltd,India,2022-12-31
Altice USA Inc,United States,2022-12-31
Amara Raja Batteries Ltd,India,2022-12-31
AmerisourceBergen Corp,United States,2022-12-31
Amicus Therapeutics Inc,United States,2022-12-31
Apellis Pharmaceuticals Inc,United States,2022-12-31
AppHarvest Inc,United States,2022-12-31
Arconic Corp,United States,2022-12-31
Argonaut Gold Inc,Canada,2022-12-31
Ascential PLC,United Kingdom,2022-12-31
Atlas Air Worldwide Holdings Inc,United States,2022-12-31
Axis Capital Holdings Ltd,United States,2022-12-31
Axonics Inc,United States,2022-12-31
Barratt Developments PLC,United Kingdom,2022-12-31
Becton Dickinson and Co,United States,2022-12-31
Befesa SA,Germany,2022-12-31
Biffa PLC,United Kingdom,2022-12-31
BlackRock Inc,United States,2022-12-31
Blueprint Medicines Corp,United States,2022-12-31
Borosil Ltd,India,2022-12-31
Boston Properties Inc,United States,2022-12-31
Boyd Group Services Inc,Canada,2022-12-31
Brightcom Group Ltd,India,2022-12-31
Britvic PLC,United Kingdom,2022-12-31
Bunge Ltd,United States,2022-12-31
CTS Eventim AG & Co KGaA,Germany,2022-12-31
Cadence Bank,United States,2022-12-31
Calavo Growers Inc,United States,2022-12-31
Canadian Pacific Railway Ltd,Canada,2022-12-31
Canadian Western Bank,Canada,2022-12-31
Capital & Counties Properties PLC,United Kingdom,2022-12-31
Capitaland Investment Ltd/Singapore,Singapore,2022-12-31
Care Ratings Ltd,India,2022-12-31
Centamin PLC,United Kingdom,2022-12-31
Central Depository Services India Ltd,India,2022-12-31
Century Textiles & Industries Ltd,India,2022-12-31
Chemours Co/The,United States,2022-12-31
Chuan Hup Holdings Ltd,Singapore,2022-12-31
Cigna Corp,United States,2022-12-31
Clorox Co/The,United States,2022-12-31
Coffee Day Enterprises Ltd,India,2022-12-31
Comerica Inc,United States,2022-12-31
CommScope Holding Co Inc,United States,2022-12-31
CompuGroup Medical SE & Co KgaA,Germany,2022-12-31
ConvaTec Group PLC,United Kingdom,2022-12-31
Coupa Software Inc,United States,2022-12-31
CropEnergies AG,Germany,2022-12-31
CyberArk Software Ltd,United States,2022-12-31
DCB Bank Ltd,India,2022-12-31
DCM Shriram Ltd,India,2022-12-31
DIC Asset AG,Germany,2022-12-31
DRC Systems India Ltd,India,2022-12-31
DS Smith PLC,United Kingdom,2022-12-31
Dechra Pharmaceuticals PLC,United Kingdom,2022-12-31
Deutz AG,Germany,2022-12-31
Dignity PLC,United Kingdom,2022-12-31
Direct Line Insurance Group PLC,United Kingdom,2022-12-31
Discover Financial Services,United States,2022-12-31
Doctor Care Anywhere Group PLC,United Kingdom,2022-12-31
Duerr AG,Germany,2022-12-31
ESR-LOGOS REIT,Singapore,2022-12-31
Eckert & Ziegler Strahlen- und Medizintechnik AG,Germany,2022-12-31
Encavis AG,Germany,2022-12-31
Enghouse Systems Ltd,Canada,2022-12-31
Equals Group PLC,United Kingdom,2022-12-31
Everest Re Group Ltd,United States,2022-12-31
Evo Payments Inc,United States,2022-12-31
Evoqua Water Technologies Corp,United States,2022-12-31
FD Technologies PLC,United Kingdom,2022-12-31
Ferguson PLC,United Kingdom,2022-12-31
First BanCorp/Puerto Rico,United States,2022-12-31
First Republic Bank/CA,United States,2022-12-31
Fresenius Medical Care AG & Co KGaA,Germany,2022-12-31
GFL Ltd,India,2022-12-31
GK Software SE,Germany,2022-12-31
GMR Airports Infrastructure Ltd,India,2022-12-31
HB Fuller Co,United States,2022-12-31
HUUUGE Inc,United States,2022-12-31
Hanover Insurance Group Inc/The,United States,2022-12-31
Harsco Corp,United States,2022-12-31
Hartford Financial Services Group Inc/The,United States,2022-12-31
Haw Par Corp Ltd,Singapore,2022-12-31
Heliad Equity Partners GmbH & Co KGaA,Germany,2022-12-31
Hemisphere Properties India Ltd,India,2022-12-31
Home Capital Group Inc,Canada,2022-12-31
HomeServe PLC,United Kingdom,2022-12-31
Horizon Therapeutics Plc,United States,2022-12-31
Hostess Brands Inc,United States,2022-12-31
Hour Glass Ltd/The,Singapore,2022-12-31
Housing Development Finance Corp Ltd,India,2022-12-31
Hyzon Motors Inc,United States,2022-12-31
ICICI Securities Ltd,India,2022-12-31
IDFC Ltd,India,2022-12-31
IIFL Finance Ltd,India,2022-12-31
IIFL Wealth Management Ltd,India,2022-12-31
IP Group PLC,United Kingdom,2022-12-31
IQGEO Group PLC,United Kingdom,2022-12-31
IRB Infrastructure Developers Ltd,India,2022-12-31
Inari Medical Inc,United States,2022-12-31
India Cements Ltd/The,India,2022-12-31
Indiabulls Real Estate Ltd,India,2022-12-31
Indian Energy Exchange Ltd,India,2022-12-31
Indivior PLC,United Kingdom,2022-12-31
Infibeam Avenues Ltd,India,2022-12-31
Innovid Corp,United States,2022-12-31
Inox Wind Energy Ltd,India,2022-12-31
Intra-Cellular Therapies Inc,United States,2022-12-31
IsoPlexis Corp,United States,2022-12-31
J M Smucker Co/The,United States,2022-12-31
JOST Werke AG,Germany,2022-12-31
Jardine Cycle & Carriage Ltd,Singapore,2022-12-31
John Bean Technologies Corp,United States,2022-12-31
John Wood Group PLC,United Kingdom,2022-12-31
Juniper Networks Inc,United States,2022-12-31
Just Group PLC,United Kingdom,2022-12-31
Kabel Deutschland Holding AG,Germany,2022-12-31
Karnataka Bank Ltd/The,India,2022-12-31
Kellogg Co,United States,2022-12-31
Keppel Corp Ltd,Singapore,2022-12-31
L&T Finance Holdings Ltd,India,2022-12-31
LHC Group Inc,United States,2022-12-31
Laboratory Corp of America Holdings,United States,2022-12-31
Liberty Global PLC,United States,2022-12-31
Life Storage Inc,United States,2022-12-31
Limeade Inc,United States,2022-12-31
Lookers PLC,United Kingdom,2022-12-31
MKS Instruments Inc,United States,2022-12-31
Macrotech Developers Ltd,India,2022-12-31
Mahindra CIE Automotive Ltd,India,2022-12-31
Markel Corp,United States,2022-12-31
McCormick & Co Inc/MD,United States,2022-12-31
Metro Bank PLC,United Kingdom,2022-12-31
Metro Brands Ltd,India,2022-12-31
Momentive Global Inc,United States,2022-12-31
Moneysupermarket.com Group PLC,United Kingdom,2022-12-31
MorphoSys AG,Germany,2022-12-31
N Brown Group PLC,United Kingdom,2022-12-31
NOW Inc,United States,2022-12-31
Nanofilm Technologies International Ltd,Singapore,2022-12-31
Network International Holdings PLC,United Kingdom,2022-12-31
Nevro Corp,United States,2022-12-31
Nikola Corp,United States,2022-12-31
North West Co Inc/The,Canada,2022-12-31
NorthWestern Corp,United States,2022-12-31
NuVasive Inc,United States,2022-12-31
ODP Corp/The,United States,2022-12-31
Olympic Steel Inc,United States,2022-12-31
PVR Ltd,India,2022-12-31
Paramount Group Inc,United States,2022-12-31
Parkland Corp,Canada,2022-12-31
Perficient Inc,United States,2022-12-31
PerkinElmer Inc,United States,2022-12-31
Petropavlovsk PLC,United Kingdom,2022-12-31
Piramal Enterprises Ltd,India,2022-12-31
Pod Point Group Holdings PLC,United Kingdom,2022-12-31
Polymetal International PLC,United Kingdom,2022-12-31
Primo Water Corp,Canada,2022-12-31
Provident Financial PLC,United Kingdom,2022-12-31
Pure Storage Inc,United States,2022-12-31
QAF Ltd,Singapore,2022-12-31
Quess Corp Ltd,India,2022-12-31
Rational AG,Germany,2022-12-31
Redde Northgate PLC,United Kingdom,2022-12-31
Reliance Steel & Aluminum Co,United States,2022-12-31
Ritchie Bros Auctioneers Inc,Canada,2022-12-31
SIS Ltd,India,2022-12-31
SJW Group,United States,2022-12-31
SNC-Lavalin Group Inc,Canada,2022-12-31
Sabana Industrial Real Estate Investment Trust,Singapore,2022-12-31
Schlumberger Ltd,United States,2022-12-31
Seagen Inc,United States,2022-12-31
Secure Energy Services Inc,Canada,2022-12-31
Sembcorp Marine Ltd,Singapore,2022-12-31
Sempra Energy,United States,2022-12-31
Shaftesbury PLC,United Kingdom,2022-12-31
Shaw Communications Inc,Canada,2022-12-31
Shockwave Medical Inc,United States,2022-12-31
Shop Apotheke Europe NV,Germany,2022-12-31
Silvair Inc,United States,2022-12-31
Silverlake Axis Ltd,Singapore,2022-12-31
Simply Good Foods Co/The,United States,2022-12-31
Smurfit Kappa Group PLC,United Kingdom,2022-12-31
South Jersey Industries Inc,United States,2022-12-31
SouthState Corp,United States,2022-12-31
Spectris PLC,United Kingdom,2022-12-31
Spirax-Sarco Engineering PLC,United Kingdom,2022-12-31
Spirent Communications PLC,United Kingdom,2022-12-31
Summit Industrial Income REIT,Canada,2022-12-31
Sunnova Energy International Inc,United States,2022-12-31
Suven Pharmaceuticals Ltd,India,2022-12-31
TDCX Inc,Singapore,2022-12-31
TE Connectivity Ltd,United States,2022-12-31
TMX Group Ltd,Canada,2022-12-31
TV18 Broadcast Ltd,India,2022-12-31
